,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
alsgml2846,alsgml2846,98,0,2,9,458,국민대학교
alsgur2348,alsgur2348,89,0,1,8,364,숭실대학교
alsidnf,alsidnf,981,1,8,22,1992,경북대학교
alsie,alsie,98,0,1,8,327,중앙대학교
alsk1976,alsk1976,13,0,0,2,69,국민대학교
alskdj143,alskdj143,53,0,1,5,129,고려대학교
alsrb141,alsrb141,63,0,1,7,235,성균관대학교
alsrb20511,alsrb20511,10,0,0,0,10,국민대학교
alsrb595,alsrb595,103,0,1,10,618,한양대학교
alsrbok,alsrbok,2,0,0,0,2,서울대학교
alsrud991026,alsrud991026,3,0,0,0,3,아주대학교
alsrudrl1220,alsrudrl1220,30,0,1,4,89,중앙대학교
alsrudsarah,alsrudsarah,87,0,1,7,275,아주대학교
alsrudska,alsrudska,202,0,3,13,988,숭실대학교
alstjd025,alstjd025,40,0,1,5,116,숭실대학교
alstjd633,alstjd633,38,0,0,6,228,한양대학교
alstjgg,alstjgg,297,0,4,15,1260,고려대학교
alstjr21c,alstjr21c,202,0,2,13,1059,고려대학교
alstjr989898,alstjr989898,239,0,2,15,1279,경북대학교
alsure,alsure,81,0,1,7,267,성균관대학교
alswo9494,alswo9494,226,0,2,13,986,국민대학교
altair2713,altair2713,1005,44,6,21,1823,고려대학교
always216,always216,173,0,2,13,974,서울대학교
alwayscoding,alwayscoding,273,0,3,13,942,성균관대학교
alwaysday4u,alwaysday4u,354,0,3,12,731,서강대학교
alzee03,alzee03,35,0,1,5,145,중앙대학교
amadeus0,amadeus0,213,0,2,9,448,서강대학교
amam555,amam555,113,0,3,13,1012,성균관대학교
amazon297,amazon297,184,0,3,11,710,숭실대학교
amel,amel,1676,360,9,26,2275,고려대학교
amelia1023,amelia1023,178,0,5,14,1073,서강대학교
ameliacode,ameliacode,218,0,2,12,824,한양대학교
amepistheo,amepistheo,290,0,3,13,919,숭실대학교
americano_iced,americano_iced,8,0,0,2,65,KAIST
amgkd9,amgkd9,450,3,5,17,1394,연세대학교
amico98,amico98,149,0,4,12,768,성균관대학교
ams0731,ams0731,54,0,1,5,103,고려대학교
amsminn,amsminn,1807,776,8,24,2102,국민대학교
amuselsj,amuselsj,20,0,0,1,24,숭실대학교
amy021899,amy021899,6,0,0,1,41,아주대학교
amyhyolee,amyhyolee,58,0,0,8,406,POSTECH
an0520a,an0520a,332,9,5,16,1385,고려대학교
anakin0012,anakin0012,6,0,0,1,32,경북대학교
analytic,analytic,0,0,0,0,0,연세대학교
anastia0609,anastia0609,250,0,3,13,968,고려대학교
anchovy582,anchovy582,194,0,3,13,1010,아주대학교
ancom21c,ancom21c,22,0,0,6,250,KAIST
